Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-03 18:01:54,false,"Washington County Running","3.13","338","00:27:00","137","164","3.7","171","184","8:37","7:13","121","121","1.09","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:02.54","4","0.0","00:26:23","00:35:00","184","287"
Walking,2021-11-28 17:32:44,false,"Washington County Walking","2.00","220","00:41:51","97","126","1.0","91","133","20:58","15:08","16","21","0.85","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","20:01.41","2","0.0","00:34:53","00:41:51","194","217"
Walking,2021-11-28 09:44:24,false,"Washington County Walking","2.04","235","00:52:00","88","102","0.6","80","137","25:30","15:32","20","20","0.80","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","07:49.26","3","0.0","00:38:15","00:52:01","193","217"
Walking,2021-11-27 15:38:39,false,"Washington County Walking","2.00","260","00:49:54","90","112","0.5","69","229","24:55","18:12","23","23","0.71","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:03.80","3","0.0","00:45:29","01:12:57","193","217"
Running,2021-11-26 17:40:38,false,"Washington County Running","3.03","332","00:26:07","144","174","3.8","170","196","8:38","7:06","33","29","1.10","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:13.26","4","0.0","00:25:02","00:36:35","184","266"
Running,2021-11-25 12:04:04,false,"Washington County Running","3.32","372","00:29:34","157","183","4.1","173","186","8:54","6:02","56","301","1.04","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:50.93","4","0.0","00:28:45","00:37:08","194","441"
Running,2021-11-22 16:22:53,false,"Washington County Running","3.14","342","00:26:49","157","186","3.8","168","184","8:33","6:22","30","37","1.12","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:01.89","4","0.0","00:26:00","00:36:35","184","220"
Walking,2021-11-21 18:47:08,false,"Washington County Walking","2.00","214","00:39:28","103","115","1.0","97","142","19:45","14:31","10","15","0.84","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","19:31.01","2","0.0","00:33:59","00:39:51","194","217"
Running,2021-11-19 16:13:20,false,"Washington County Running","3.14","337","00:26:51","155","184","4.1","168","184","8:34","6:57","36","39","1.12","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:05.70","4","0.0","00:25:57","00:37:09","184","220"
Walking,2021-11-16 18:17:42,false,"Washington County Walking","3.16","335","00:28:17","144","172","3.4","170","184","8:57","7:50","23","33","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:25.60","4","0.0","00:27:30","00:35:42","184","220"
Walking,2021-11-14 19:48:30,false,"Washington County Walking","2.07","245","00:43:11","108","124","1.2","90","135","20:51","13:22","21","21","0.86","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:53.14","3","0.0","00:35:58","00:43:11","194","217"
Running,2021-11-14 10:56:52,false,"Washington County Running","3.09","337","00:27:04","155","190","3.9","170","184","8:46","7:16","24","28","1.08","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:48.58","4","0.0","00:26:37","00:39:44","184","220"
Walking,2021-11-13 20:24:41,false,"Washington County Walking","2.13","253","00:53:30","96","117","1.0","82","163","25:04","17:58","29","29","0.78","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","03:30.98","3","0.0","00:42:30","00:53:30","193","217"
Running,2021-11-05 16:13:46,false,"Washington County Running","3.15","341","00:28:12","152","180","3.7","170","184","8:57","7:01","35","41","1.06","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:19.55","4","0.0","00:26:54","00:40:32","184","220"
Indoor Rowing,2021-10-27 16:46:08,false,"Indoor Rowing","--","224","00:23:10","134","170","2.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","735","0:00","0.0","0:00","No","23:09.99","1","0.0","00:00:00","00:34:52","--","--"
Indoor Rowing,2021-10-26 16:54:34,false,"Indoor Rowing","--","118","00:14:07","120","159","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","486","0:00","0.0","0:00","No","14:06.99","1","0.0","00:00:00","00:21:01","--","--"
Running,2021-10-19 16:42:17,false,"Washington County Running","2.00","248","00:19:28","141","183","3.6","128","184","9:44","1:26","39","29","1.40","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:16.100","5","0.0","00:20:43","00:33:18","184","226"
Running,2021-10-19 16:28:07,false,"Washington County Running","1.04","108","00:09:22.0","140","174","2.4","163","180","9:02","8:02","10","11","1.10","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:19.13","2","0.0","00:08:54.1","00:10:57","206","220"
Walking,2021-10-17 18:17:31,false,"Washington County Walking","2.16","247","00:49:42","101","121","1.1","81","247","22:59","13:15","20","20","0.87","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","03:53.43","3","0.0","00:40:51","00:55:19","193","217"
Walking,2021-10-13 17:51:08,false,"Washington County Walking","1.00","103","00:26:15","68","92","0.3","95","179","26:12","22:07","10","9","0.65","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:04.13","2","0.0","00:24:05","00:26:15","205","217"
Walking,2021-10-12 17:45:36,false,"Washington County Walking","1.10","246","00:35:00","80","120","0.4","37","218","31:55","20:41","10","9","0.60","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","25:56.01","2","0.0","00:23:19","01:13:00","204","217"
Walking,2021-10-12 09:20:47,false,"Washington County Walking","0.60","63","00:15:00","69","91","0.2","99","128","24:52","19:18","7","7","0.65","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","14:59.88","1","0.0","00:14:10","00:15:00","203","217"
Walking,2021-10-11 15:49:40,false,"Washington County Walking","2.19","280","00:56:57","105","121","1.1","76","133","26:02","16:55","24","23","0.82","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","06:16.10","3","0.0","00:44:51","00:57:15","194","217"
Walking,2021-10-09 18:56:05,false,"Washington County Walking","1.15","291","00:36:12","73","104","0.3","25","210","31:28","21:27","10","9","1.89","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","25:42.94","2","0.0","00:25:18","01:44:13","204","217"
Walking,2021-10-09 09:57:16,false,"Washington County Walking","2.03","232","00:56:57","79","101","0.3","73","133","28:02","19:42","19","19","0.80","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:30.41","3","0.0","00:47:02","00:56:57","193","217"
Walking,2021-10-08 17:42:17,false,"Washington County Walking","2.11","243","00:58:21","89","112","0.6","70","233","27:36","8:46","20","20","0.84","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:34.70","3","0.0","00:44:34","00:58:21","194","217"
Walking,2021-10-06 12:09:54,false,"Washington County Walking","0.54","65","00:16:43","73","96","0.2","67","133","30:54","19:25","7","7","0.78","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","16:42.67","1","0.0","00:11:30","00:17:36","206","217"
Walking,2021-10-05 19:12:38,false,"Washington County Walking","2.02","220","00:43:51","93","111","0.9","78","250","21:40","11:50","21","21","0.95","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:28.45","3","0.0","00:35:53","00:43:51","193","217"
Walking,2021-10-04 19:47:20,false,"Washington County Walking","1.00","123","00:27:36","90","122","0.5","64","203","27:36","17:06","10","7","0.91","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:02.48","2","0.0","00:18:08","00:27:36","204","217"
Walking,2021-10-04 09:08:27,false,"Washington County Walking","1.04","98","00:29:59","71","88","0.2","53","137","28:47","16:14","13","13","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:13.82","2","0.0","00:19:46","00:29:59","203","213"
Walking,2021-10-02 19:48:44,false,"Washington County Walking","1.03","148","00:37:39","85","115","0.3","50","168","36:30","9:55","10","8","1.00","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","10:03.20","2","0.0","00:20:08","00:37:39","204","217"
Walking,2021-10-02 17:36:57,false,"Washington County Walking","1.09","118","00:29:20","87","109","0.3","74","147","26:51","19:10","8","13","0.81","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:41.12","2","0.0","00:25:08","00:29:26","200","217"
Walking,2021-10-01 18:40:38,false,"Washington County Walking","1.04","142","00:34:10","86","103","0.4","54","234","32:52","15:58","16","13","0.91","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:48.38","2","0.0","00:20:23","01:00:39","204","217"
Walking,2021-10-01 16:31:41,false,"Washington County Walking","1.01","132","00:34:53","81","104","0.3","43","147","34:29","17:01","12","12","1.08","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:59.62","2","0.0","00:20:16","00:34:53","204","217"
Walking,2021-10-01 09:51:15,false,"Washington County Walking","0.51","65","00:16:00","71","90","0.3","66","122","31:36","16:43","5","7","0.77","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","15:59.90","1","0.0","00:10:45","00:16:00","206","213"
Walking,2021-09-30 20:03:26,false,"Washington County Walking","1.03","120","00:25:53","92","111","0.4","70","245","25:10","15:12","10","8","0.92","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:36.16","2","0.0","00:19:57","00:25:53","204","217"
Walking,2021-09-30 17:43:46,false,"Washington County Walking","1.78","215","00:56:55","80","107","0.3","60","220","31:58","10:32","23","23","0.84","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","23:54.41","2","0.0","00:41:18","00:56:55","194","217"
Running,2021-09-29 17:14:16,false,"Washington County Running","3.15","341","00:28:48","151","175","3.4","168","230","9:09","7:54","36","41","1.05","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:17.82","4","0.0","00:27:58","00:43:33","184","220"
Walking,2021-09-29 10:33:39,false,"Washington County Walking","0.93","255","00:28:28","68","100","0.2","17","155","30:45","20:15","15","14","0.74","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","01:56:27.53","1","0.0","00:20:30","01:56:28","200","217"
Walking,2021-09-27 20:02:10,false,"Washington County Walking","1.06","139","00:27:40","98","126","0.7","70","147","26:02","15:18","6","--","0.87","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","03:15.87","2","0.0","00:19:08","00:27:40","203","217"
Walking,2021-09-25 21:01:54,false,"Washington County Walking","1.02","158","00:28:38","104","119","0.8","--","--","28:02","14:54","10","10","0.00","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:49.27","2","0.0","00:13:27","00:28:38","204","217"
Walking,2021-09-25 08:53:40,false,"Washington County Walking","1.56","177","00:47:57","79","107","0.3","65","155","30:48","19:42","16","17","0.81","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","17:25.70","2","0.0","00:32:52","00:47:58","204","217"
Running,2021-09-23 16:22:18,false,"Washington County Running","3.01","346","00:27:08","162","182","3.8","167","183","9:00","7:16","36","39","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:06.34","4","0.0","00:26:07","00:40:20","184","220"
Walking,2021-09-22 19:40:42,false,"Washington County Walking","1.04","144","00:26:03","101","113","0.7","74","142","25:02","15:48","7","6","0.85","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","02:59.38","2","0.0","00:18:28","00:27:03","204","217"
Walking,2021-09-22 17:27:40,false,"Washington County Walking","1.50","161","00:40:14","83","100","0.3","73","215","26:53","19:25","21","21","0.82","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","12:58.27","2","0.0","00:34:58","00:40:14","194","217"
Walking,2021-09-19 17:39:34,false,"Washington County Walking","1.01","118","00:27:41","87","115","0.4","60","173","27:32","13:22","10","10","0.98","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:05.63","2","0.0","00:00:00","00:27:41","204","217"
Running,2021-09-18 16:06:29,false,"Washington County Running","3.03","342","00:28:15","158","177","3.4","169","182","9:20","8:17","10","17","1.02","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","00:14.46","4","0.0","00:00:00","00:41:25","184","220"
Walking,2021-09-17 17:15:23,false,"Washington County Walking","1.27","168","00:41:50","92","118","0.3","46","159","32:55","17:38","20","20","1.07","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","09:36.72","2","0.0","00:00:00","00:41:50","194","217"
Walking,2021-09-17 10:11:21,false,"Washington County Walking","0.34","52","00:15:21","79","99","0.1","30","132","45:00","14:36","--","--","1.20","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","15:20.68","1","0.0","00:00:00","00:15:21","203","207"
Walking,2021-09-14 21:34:25,false,"Washington County Walking","0.52","105","00:20:34","101","122","0.4","53","248","39:41","13:45","--","--","0.76","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","20:34.14","1","0.0","00:00:00","00:20:46","203","208"
Walking,2021-09-14 19:32:47,false,"Washington County Walking","0.86","105","00:22:10","94","118","0.4","75","226","25:52","13:00","2","--","0.83","0.0","0.0","0.0","0.0","0.0","--","0:00","0.0","0:00","No","22:10.10","1","0.0","00:00:00","00:22:10","204","213"
